hito;oid;nombre;s1;s2;s3;s4;k1;k2;k3;k4;skill;knowledge;complexity;item
2;c0a2cd8059d44afb822a031066678092;Jerigonzo;0;0;1;0;0;1;1;1;2;7;39;ch
2;c0d9a3b2f7be46dab1f792c7fbd365b9;Decodificador;0;0;1;0;0;1;1;1;2;7;39;ch
3;cb796b16ddf1435da29b223fc084c847;Clase Fracción;0;0;0;1;1;1;1;1;1;15;31;bp
3;d28eb11da0a44881be979e551d122eb9;Juego del Gato;0;1;0;1;1;1;1;1;5;15;95;fp
3;d44d5fead16c47a986287ff2bc48d20f;Clase FechaHora;0;0;1;0;1;1;1;1;2;15;47;cp
1;d8395f43e4a1454d90346ac5a1ba561a;Números Amigos;0;0;0;0;0;0;1;1;0;3;3;ad
3;d849ec19c3834c2b9c9ff2ab34d2f3e3;Clase Usuario;0;0;1;1;1;1;1;1;3;15;63;dp
2;db7987d040dc469a9c247d54dd72939a;Números Perfectos;0;0;0;1;0;0;1;1;1;3;19;bd
3;db873d7e50684080ba8f39aed56b288e;Carro de Compras;0;0;1;0;1;1;1;1;2;15;47;cp
3;dd1000315e5b43ac89ae1d416400d9d6;Pokemon;0;0;1;1;1;1;1;1;3;15;63;dp
4;e6093c934b8c40b4bee9969b32a30bed;El problema de la mochila;1;1;0;0;0;1;1;1;12;7;199;mh
2;e72db1cb2e9f400990cfa3b464d0391a;Sopa de Letras;0;1;0;1;0;1;1;1;5;7;87;fh
3;e8a9dc7b6127482987d9b6dbca73ec5e;Caminos entre ciudades;0;0;1;0;1;1;1;1;2;15;47;cp
4;e9df502fccd9455a8a7609d542a857c8;MCM recursivo;0;0;0;1;0;0;1;1;1;3;19;bd
4;eb91ed4e997b4ca98f3c86e3e86a3755;Combinaciones de Números Binarios;1;1;0;0;0;1;1;1;12;7;199;mh
3;f7f404137f974160bcbfa423f5d35eda;Ornitología 2;0;0;0;0;1;0;0;0;0;8;8;ai
