id_estudiante,programa,exitosos,fallidos,ejercicios_hito1,ejercicios_hito2,ejercicios_hito3,ejercicios_hito4,solemne_1,solemne_2,solemne_3,solemne_4
19,INGENIERIA INDUSTRIAL,14,25,"[25, 17, 4, 26, 29, 0, 22, 3, 42, 18, 35]","[6, 28, 12]",-1,-1,5.7,5.6,6.4,5.9
20,INGENIERIA EN COMPUTACION E INFORMATICA,8,8,"[25, 17, 4, 26, 29, 0, 22, 10]",-1,-1,-1,6.8,5.9,5.9,6.2
21,INGENIERIA CIVIL INFORMATICA,15,32,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 7, 32]","[6, 44]",-1,-1,7.0,7.0,7.0,7.0
22,INGENIERIA CIVIL INDUSTRIAL,28,19,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 7, 32, 13, 18, 35]","[6, 1, 44, 37, 28]",-1,-1,6.2,6.4,6.2,6.3
23,INGENIERIA INDUSTRIAL,47,0,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 7, 32, 13, 18, 35]","[6, 1, 44, 11, 37, 28, 12, 21, 38, 8, 48, 9, 2, 33, 31]",-1,-1,6.8,6.6,7.0,6.8
24,INGENIERIA EN COMPUTACION E INFORMATICA,12,12,"[25, 17, 4, 26, 29, 23, 0, 10, 3, 42, 7, 32]",-1,-1,-1,6.8,6.6,6.8,6.7
25,INGENIERIA EN COMPUTACION E INFORMATICA,10,21,"[25, 17, 4, 26, 29, 23, 22, 3, 42, 35]",-1,-1,-1,7.0,5.0,6.6,6.2
26,INGENIERIA EN COMPUTACION E INFORMATICA,15,24,"[25, 17, 4, 26, 29, 0, 22, 10, 42, 32, 18, 35]","[6, 44, 37]",-1,-1,5.6,5.6,6.0,5.7
27,INGENIERIA INDUSTRIAL,16,15,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3]","[1, 44, 37, 28, 12, 38]",-1,-1,6.3,6.8,6.2,6.4
28,INGENIERIA EN COMPUTACION E INFORMATICA,6,10,"[25, 17, 4, 26, 29, 23]",-1,-1,-1,6.3,6.3,1.0,2.8
29,INGENIERIA CIVIL INDUSTRIAL,17,22,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 32, 13, 18]",-1,-1,-1,5.5,6.2,5.1,5.6
30,INGENIERIA EN COMPUTACION E INFORMATICA,15,16,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42]","[6, 1, 44, 37]",-1,-1,6.8,6.5,6.7,6.7
31,INGENIERIA INDUSTRIAL,9,22,"[25, 17, 4, 26, 29, 0, 10, 18]",[1],-1,-1,7.0,6.1,5.1,6.1
32,INGENIERIA EN COMPUTACION E INFORMATICA,20,27,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 32, 18, 35]",-1,-1,-1,6.6,6.8,5.8,6.4
33,INGENIERIA CIVIL INDUSTRIAL,16,15,"[25, 17, 4, 26, 23, 0, 22, 10, 3, 42, 32, 13, 18, 35]","[6, 44]",-1,-1,6.8,6.3,6.6,6.6
34,INGENIERIA CIVIL INFORMATICA,0,31,-1,-1,-1,-1,6.2,5.5,5.6,5.8
35,INGENIERIA CIVIL INDUSTRIAL,21,10,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 7, 32, 13, 18, 35]","[6, 1, 44, 37, 28]",-1,-1,7.0,5.7,6.2,6.3
36,INGENIERIA EN COMPUTACION E INFORMATICA,20,11,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 7, 32, 18, 35]","[6, 1, 44, 37, 38]",-1,-1,5.4,6.1,5.8,5.8
37,INGENIERIA CIVIL INFORMATICA,17,14,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 18]","[1, 44, 37, 28, 38]",-1,-1,7.0,5.9,6.8,6.6
38,INGENIERIA CIVIL INDUSTRIAL,14,17,"[25, 17, 26, 29, 23, 0, 22, 3, 42, 32, 18]","[6, 1, 44]",-1,-1,6.2,6.2,6.4,6.3
39,INGENIERIA CIVIL INDUSTRIAL,16,15,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 18, 35]","[6, 1, 44]",-1,-1,5.7,5.8,5.0,5.5
40,INGENIERIA EN COMPUTACION E INFORMATICA,15,24,"[25, 17, 4, 26, 29, 0, 22, 10]","[6, 1, 44, 37, 28, 12, 8]",-1,-1,7.0,7.0,7.0,7.0
41,INGENIERIA INDUSTRIAL,3,13,"[25, 17, 4]",-1,-1,-1,6.6,4.1,3.7,4.8
42,INGENIERIA EN COMPUTACION E INFORMATICA,9,15,"[25, 17, 4, 26, 29, 0, 22, 10, 3]",-1,-1,-1,2.0,6.2,5.8,4.7
43,INGENIERIA CIVIL INDUSTRIAL,17,14,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 32, 18]","[6, 1, 44, 37]",-1,-1,6.6,6.3,6.5,6.5
44,INGENIERIA CIVIL INDUSTRIAL,0,0,-1,-1,-1,-1,1.0,1.0,1.0,1.0
45,INGENIERIA CIVIL INDUSTRIAL,16,15,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 32, 18, 35]","[6, 1, 44]",-1,-1,6.6,6.1,6.3,6.3
46,INGENIERIA EN COMPUTACION E INFORMATICA,26,13,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 32, 13, 18, 35]","[6, 44, 37, 28]",-1,-1,6.4,6.4,5.4,6.1
47,INGENIERIA INDUSTRIAL,12,19,"[25, 17, 4, 26, 29, 22, 10, 3, 42]","[1, 44, 28]",-1,-1,6.6,7.0,6.0,6.5
48,INGENIERIA CIVIL INFORMATICA,20,11,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 7, 32, 13, 18, 35]","[6, 1, 44, 37]",-1,-1,6.8,7.0,6.4,7.0
49,INGENIERIA CIVIL INDUSTRIAL,14,17,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 32, 18, 35]",-1,-1,-1,6.6,6.2,6.6,6.5
50,INGENIERIA INDUSTRIAL,0,0,-1,-1,-1,-1,6.6,6.9,6.0,6.5
51,INGENIERIA INDUSTRIAL,1,23,[25],-1,-1,-1,4.6,2.1,1.0,2.6
52,INGENIERIA EN COMPUTACION E INFORMATICA,7,32,"[17, 4]","[1, 44, 11, 37, 48]",-1,-1,6.1,6.3,5.9,6.1
53,INGENIERIA INDUSTRIAL,1,30,[17],-1,-1,-1,6.5,4.2,5.3,5.3
54,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,-1,-1,-1,-1,6.0,5.5,5.7,5.7
55,INGENIERIA EN COMPUTACION E INFORMATICA,24,7,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 32, 13, 18, 35]","[6, 1, 44, 37, 28, 12, 21, 38, 8]",-1,-1,7.0,6.8,6.6,6.8
56,INGENIERIA EN COMPUTACION E INFORMATICA,18,13,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 7, 32, 13, 18]","[6, 1, 44]",-1,-1,5.8,4.9,2.9,4.5
57,INGENIERIA CIVIL INDUSTRIAL,0,0,-1,-1,-1,-1,6.2,7.0,6.2,6.2
58,INGENIERIA CIVIL INDUSTRIAL,5,26,"[25, 17, 4, 22, 10]",-1,-1,-1,5.9,6.4,4.6,5.6
59,INGENIERIA CIVIL INDUSTRIAL,15,24,"[25, 17, 4, 26, 29, 23, 22, 10, 3]","[6, 1, 44, 37, 28, 12]",-1,-1,6.8,5.3,6.4,6.2
60,INGENIERIA CIVIL INDUSTRIAL,11,20,"[4, 29, 23, 0, 3]","[6, 1, 28, 9, 2, 33]",-1,-1,6.1,6.4,5.1,5.9
61,INGENIERIA CIVIL INDUSTRIAL,16,15,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 18]","[6, 1, 44, 9]",-1,-1,7.0,5.8,6.1,6.3
62,INGENIERIA CIVIL INDUSTRIAL,12,35,"[25, 17, 4, 26, 23, 3, 42, 32, 13]","[6, 1, 44]",-1,-1,5.6,7.0,6.3,6.4
63,INGENIERIA EN COMPUTACION E INFORMATICA,26,5,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 7, 32, 13, 18, 35]","[6, 1, 44, 11, 37, 28, 12, 21, 38, 8]",-1,-1,7.0,5.8,6.4,6.4
64,INGENIERIA EN COMPUTACION E INFORMATICA,17,14,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 32, 18, 35]","[6, 1, 44]",-1,-1,5.9,4.0,5.7,5.2
65,INGENIERIA EN COMPUTACION E INFORMATICA,12,19,"[25, 17, 4, 29, 22, 3, 42, 35]","[1, 44, 37, 28]",-1,-1,6.8,3.8,5.8,5.5
66,INGENIERIA EN COMPUTACION E INFORMATICA,39,8,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 7, 32, 13, 18, 35]","[6, 1, 44, 37, 28, 12, 9]",-1,-1,5.6,5.6,6.8,6.0
67,INGENIERIA CIVIL INDUSTRIAL,16,15,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 32, 18]","[6, 1, 44]",-1,-1,6.8,7.0,5.9,6.6
68,INGENIERIA EN COMPUTACION E INFORMATICA,16,23,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42]","[6, 1, 44, 37, 28]",-1,-1,6.4,6.6,6.2,6.4
69,INGENIERIA CIVIL INDUSTRIAL,0,0,-1,-1,-1,-1,5.2,6.0,5.8,5.7
70,INGENIERIA CIVIL INFORMATICA,32,15,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 7, 32, 35]","[6, 1, 44, 28, 38]",-1,-1,7.0,7.0,6.8,6.9
71,INGENIERIA CIVIL INDUSTRIAL,23,8,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 32, 13, 18]","[6, 1, 44, 37, 28, 12, 38, 2, 33]",-1,-1,5.2,5.4,4.6,5.1
72,INGENIERIA CIVIL INFORMATICA,27,4,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 7, 32, 13, 18, 35]","[6, 1, 44, 11, 37, 28, 12, 21, 38, 8, 9]",-1,-1,6.6,6.4,6.6,6.5
73,INGENIERIA CIVIL INDUSTRIAL,13,26,"[25, 17, 4, 26, 23, 0, 10, 3, 42, 32, 13, 18, 35]",-1,-1,-1,6.6,6.8,6.1,6.5
74,INGENIERIA CIVIL INDUSTRIAL,20,11,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 32, 18, 35]","[6, 1, 44, 37, 28, 38]",-1,-1,6.8,5.9,6.0,6.2
75,INGENIERIA CIVIL INDUSTRIAL,16,15,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 32, 18, 35]","[1, 44]",-1,-1,6.0,5.6,6.4,6.0
76,INGENIERIA CIVIL INDUSTRIAL,13,18,"[25, 17, 4, 26, 29, 0, 22, 10]","[6, 1, 44, 37, 38]",-1,-1,6.5,6.6,5.9,6.3
77,INGENIERIA CIVIL INFORMATICA,23,8,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 32, 13, 18]","[6, 1, 44, 11, 37, 28, 12, 21, 38]",-1,-1,6.3,6.8,6.2,6.4
78,INGENIERIA EN COMPUTACION E INFORMATICA,30,1,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 7, 32, 13, 18, 35]","[6, 1, 44, 11, 37, 28, 12, 21, 38, 8, 9, 2, 33, 31]",-1,-1,6.9,6.8,6.6,6.8
79,INGENIERIA CIVIL INFORMATICA,53,17,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 32, 18, 35]","[6, 1, 44]",-1,-1,6.8,6.8,7.0,5.3
80,INGENIERIA EN COMPUTACION E INFORMATICA,17,30,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 7, 32, 13, 18, 35]",[28],-1,-1,5.5,6.3,5.6,5.8
81,INGENIERIA INDUSTRIAL,0,24,-1,-1,-1,-1,5.0,5.3,1.0,3.8
82,INGENIERIA CIVIL INFORMATICA,41,6,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 7, 18, 35]","[6, 1, 44, 11, 37, 28, 12, 38, 8, 9, 2, 33, 31]",-1,-1,6.8,6.7,6.8,6.8
83,INGENIERIA CIVIL INDUSTRIAL,17,14,"[25, 17, 4, 26, 29, 23, 22, 42, 32, 18, 35]","[6, 1, 44, 37, 28, 38]",-1,-1,6.5,5.6,4.8,5.6
84,INGENIERIA CIVIL INFORMATICA,16,15,"[25, 17, 4, 26, 29, 0, 22, 10, 3, 7, 32, 13, 18]","[1, 44, 11]",-1,-1,6.6,6.4,4.3,5.8
85,INGENIERIA CIVIL INFORMATICA,18,13,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 32, 18]","[6, 1, 44, 28, 38]",-1,-1,5.8,6.4,5.0,5.7
86,INGENIERIA CIVIL INFORMATICA,17,22,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42]","[6, 1, 44, 37, 28, 12]",-1,-1,6.8,6.4,5.6,6.3
87,INGENIERIA INDUSTRIAL,13,18,"[25, 17, 4, 26, 29, 0, 22, 10, 3, 42, 32, 18, 35]",-1,-1,-1,6.4,6.8,6.4,6.5
88,INGENIERIA CIVIL INDUSTRIAL,16,15,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 32]","[6, 1, 44, 37, 28]",-1,-1,7.0,4.4,6.8,6.1
89,INGENIERIA EN COMPUTACION E INFORMATICA,19,12,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 7, 32, 13, 18, 35]","[6, 1, 44]",-1,-1,6.4,5.9,6.8,6.4
90,INGENIERIA CIVIL INDUSTRIAL,17,14,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 32, 18, 35]","[6, 1, 44]",-1,-1,7.0,5.8,6.4,6.4
91,INGENIERIA CIVIL INDUSTRIAL,20,11,"[25, 17, 4, 26, 29, 0, 22, 10, 3, 42, 32, 13, 18, 35]","[6, 1, 28, 9, 2, 33]",-1,-1,5.5,6.3,4.8,5.5
92,INGENIERIA EN COMPUTACION E INFORMATICA,16,15,"[25, 17, 4, 26, 23, 0, 22, 3, 42, 32, 13, 35]","[1, 44, 37, 12]",-1,-1,6.9,7.0,6.4,6.4
93,INGENIERIA EN COMPUTACION E INFORMATICA,17,22,"[25, 17, 4, 26, 29, 23, 0, 22, 3, 42, 18]","[6, 44, 37, 28, 12, 38]",-1,-1,5.6,6.8,4.6,5.7
94,INGENIERIA CIVIL INDUSTRIAL,15,16,"[25, 17, 4, 26, 29, 0, 22, 10, 32, 13, 18, 35]","[9, 2, 33]",-1,-1,5.0,6.1,2.4,4.5
95,INGENIERIA EN COMPUTACION E INFORMATICA,11,20,"[25, 4, 26, 29, 23, 22, 3, 42, 32, 18, 35]",-1,-1,-1,6.6,6.6,6.2,6.2
96,INGENIERIA INDUSTRIAL,13,3,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 7, 32, 18]",-1,-1,-1,5.4,5.4,4.0,4.9
97,INGENIERIA CIVIL INFORMATICA,23,24,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 7, 32, 13, 18, 35]","[6, 1, 44, 37, 28, 12, 21]",-1,-1,6.8,6.0,6.4,6.4
98,INGENIERIA CIVIL INFORMATICA,14,17,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 18, 35]",[37],-1,-1,7.0,6.8,6.0,6.6
99,INGENIERIA CIVIL INFORMATICA,12,19,"[25, 17, 4, 26, 29, 10, 3, 18, 35]","[6, 1, 44]",-1,-1,6.1,4.5,5.1,5.2
100,INGENIERIA CIVIL INDUSTRIAL,19,12,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 7, 32, 13, 18]","[6, 1, 44, 28]",-1,-1,3.8,5.5,6.2,5.2
101,INGENIERIA CIVIL INDUSTRIAL,23,24,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 7, 18, 35]","[6, 1, 44, 37, 28, 12, 38, 8, 9]",-1,-1,7.0,7.0,7.0,7.0
102,INGENIERIA INDUSTRIAL,18,13,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 7, 32, 13, 18, 35]","[11, 28, 21]",-1,-1,6.6,5.2,3.6,5.1
103,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,-1,-1,-1,-1,1.0,1.0,1.0,1.0
104,INGENIERIA EN COMPUTACION E INFORMATICA,6,10,"[25, 17, 4, 26, 29, 0]",-1,-1,-1,6.5,1.0,3.7,3.7
105,INGENIERIA EN COMPUTACION E INFORMATICA,15,24,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 18, 35]","[6, 44]",-1,-1,4.6,5.9,3.5,4.7
106,INGENIERIA EN COMPUTACION E INFORMATICA,12,19,"[25, 17, 4, 26, 29, 0, 22, 42, 32]","[6, 37, 28]",-1,-1,4.6,6.8,5.3,5.3
107,INGENIERIA EN COMPUTACION E INFORMATICA,27,4,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 7, 32, 13, 18]","[6, 1, 44, 11, 37, 28, 12, 21, 38, 8, 9, 31]",-1,-1,6.8,6.4,6.8,6.7
108,INGENIERIA CIVIL INDUSTRIAL,26,13,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 32, 18, 35]","[6, 1, 44, 28, 38]",-1,-1,6.2,5.8,5.9,6.0
109,INGENIERIA CIVIL INDUSTRIAL,22,17,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 7, 32, 18, 35]",-1,-1,-1,6.8,7.0,6.6,6.8
110,INGENIERIA CIVIL INDUSTRIAL,15,16,"[25, 17, 4, 26, 29, 23, 22, 10, 42, 32, 18]","[6, 1, 44, 38]",-1,-1,6.7,6.7,4.2,5.9
111,INGENIERIA EN COMPUTACION E INFORMATICA,28,3,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 7, 32, 13, 18, 35]","[6, 1, 44, 11, 37, 28, 12, 21, 38, 8, 9, 2]",-1,-1,5.0,6.8,6.8,6.2
112,INGENIERIA CIVIL INDUSTRIAL,2,45,"[25, 4]",-1,-1,-1,5.8,4.0,3.6,4.5
113,INGENIERIA EN COMPUTACION E INFORMATICA,21,10,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 32, 13, 18, 35]","[6, 1, 44, 11, 37, 28]",-1,-1,6.1,5.3,6.0,6.1
114,INGENIERIA CIVIL INDUSTRIAL,17,38,"[25, 17, 26, 22, 3, 42, 32, 18, 35]","[6, 44]",-1,-1,4.4,4.6,5.5,4.8
115,INGENIERIA EN COMPUTACION E INFORMATICA,16,23,"[25, 17, 4, 26, 29, 0, 22, 10, 3, 42, 32, 13]","[6, 1, 44, 37]",-1,-1,6.5,5.9,5.8,6.1
116,INGENIERIA CIVIL INDUSTRIAL,15,16,"[25, 17, 4, 26, 29, 0, 22, 10, 32, 13, 18, 35]","[9, 2, 33]",-1,-1,6.6,6.4,6.4,6.5
117,INGENIERIA EN COMPUTACION E INFORMATICA,16,15,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 32, 18]","[1, 44, 28]",-1,-1,6.8,6.7,5.3,6.3
118,INGENIERIA EN COMPUTACION E INFORMATICA,20,19,"[25, 17, 4, 26, 23, 0, 22, 10, 3, 42]","[6, 44, 37, 28]",-1,-1,5.9,6.0,5.4,5.8
119,INGENIERIA EN COMPUTACION E INFORMATICA,17,14,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 18]","[6, 1, 44, 37, 28]",-1,-1,7.0,6.8,6.6,6.8
120,INGENIERIA CIVIL INFORMATICA,15,16,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42]","[6, 1, 44, 28]",-1,-1,6.2,6.6,6.0,6.3
121,INGENIERIA CIVIL INDUSTRIAL,16,23,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 32, 18]","[6, 1, 44]",-1,-1,6.2,5.6,5.5,5.8
122,INGENIERIA EN COMPUTACION E INFORMATICA,0,15,-1,-1,-1,-1,1.0,1.0,1.0,1.0
123,INGENIERIA CIVIL INDUSTRIAL,6,25,"[3, 42, 35]","[44, 37, 28]",-1,-1,4.5,4.6,5.6,4.9
124,INGENIERIA CIVIL INFORMATICA,16,15,"[25, 17, 4, 26, 23, 0, 22, 10, 3, 42, 32, 35]","[6, 1, 44, 37]",-1,-1,4.3,6.0,6.6,5.6
125,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,-1,-1,-1,-1,5.2,4.0,3.4,4.2
126,INGENIERIA INDUSTRIAL,4,12,"[25, 17, 4, 22]",-1,-1,-1,6.4,5.1,4.2,5.2
127,INGENIERIA CIVIL INDUSTRIAL,11,20,"[25, 17, 4, 22, 10, 35]","[6, 11, 37, 28, 12]",-1,-1,7.0,6.4,6.6,6.7
128,INGENIERIA EN COMPUTACION E INFORMATICA,16,15,"[25, 17, 4, 26, 29, 0, 22, 10, 3, 42, 35]","[6, 1, 44, 37, 12]",-1,-1,5.3,4.8,5.4,5.2
129,INGENIERIA CIVIL INDUSTRIAL,18,13,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 32, 18]","[6, 1, 44, 12, 38]",-1,-1,6.2,6.1,6.4,6.2
130,INGENIERIA CIVIL INDUSTRIAL,19,12,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 32, 18, 35]","[6, 1, 44, 28, 38]",-1,-1,5.8,6.0,6.6,6.1
131,INGENIERIA EN COMPUTACION E INFORMATICA,3,36,"[25, 17, 4]",-1,-1,-1,4.4,1.0,1.0,4.4
132,INGENIERIA CIVIL INDUSTRIAL,19,12,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 32, 13, 18, 35]","[6, 1, 44, 37]",-1,-1,7.0,6.4,6.5,6.6
133,INGENIERIA CIVIL INDUSTRIAL,22,17,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 7, 32, 13, 18, 35]",-1,-1,-1,7.0,6.0,6.5,6.5
134,INGENIERIA EN COMPUTACION E INFORMATICA,0,16,-1,-1,-1,-1,4.6,1.0,3.8,3.1
135,INGENIERIA CIVIL INDUSTRIAL,38,9,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 32]","[6, 1, 44, 11, 37, 28, 12, 21, 38, 8]",-1,-1,6.6,6.6,6.8,6.7
136,INGENIERIA CIVIL INDUSTRIAL,19,20,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 32, 13, 18, 35]","[6, 1, 44, 37]",-1,-1,5.8,4.8,5.7,5.4
137,INGENIERIA CIVIL INDUSTRIAL,17,22,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 18]","[6, 1, 44, 37, 28]",-1,-1,7.0,6.6,4.8,6.1
138,INGENIERIA CIVIL INDUSTRIAL,13,26,"[25, 17, 4, 23, 0, 22, 10, 32, 13]","[6, 1, 44]",-1,-1,5.8,5.7,6.0,5.8
139,INGENIERIA CIVIL INFORMATICA,20,11,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42, 7, 32, 13, 18, 35]","[6, 1, 44, 28]",-1,-1,6.6,5.1,6.4,6.0
140,INGENIERIA CIVIL INFORMATICA,8,16,"[25, 17, 4, 26, 29, 0, 22, 10]",-1,-1,-1,4.2,5.6,1.0,3.6
141,INGENIERIA EN COMPUTACION E INFORMATICA,9,22,"[25, 17, 4, 26, 3, 42, 32, 13]",[44],-1,-1,4.5,6.6,5.8,4.5
142,INGENIERIA CIVIL INFORMATICA,8,23,"[25, 17, 4, 26, 29, 0, 22, 10]",-1,-1,-1,6.8,5.3,5.5,5.9
143,INGENIERIA CIVIL INDUSTRIAL,15,16,"[25, 17, 4, 26, 29, 23, 0, 10, 42, 32, 18, 35]","[6, 1, 44]",-1,-1,6.5,5.3,6.3,6.0
144,INGENIERIA CIVIL INFORMATICA,14,17,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 32, 13, 18, 35]",-1,-1,-1,6.8,5.5,6.2,6.2
145,INGENIERIA CIVIL INFORMATICA,16,15,"[25, 17, 4, 26, 29, 23, 0, 22, 10, 3, 42]","[6, 1, 44, 37, 28]",-1,-1,6.8,6.0,6.8,6.5
