rut,programa,hito1,hito2,hito3,hito4,exitosos,fallidos,ejercicios_hito1,ejercicios_hito2,ejercicios_hito3,ejercicios_hito4,sol1,sol2,sol3,sol4
26,INGENIERIA EN COMPUTACION E INFORMATICA,20,4,0,0,15,24,:25:17:4:26:29:0:22:10:42:32:18:35,:6:44:37,,,5.6,5.6,6.0,5.7
27,INGENIERIA INDUSTRIAL,14,8,0,0,16,15,:25:17:4:26:29:23:0:22:10:3,:1:44:37:28:12:38,,,6.3,6.8,6.2,6.4
28,INGENIERIA EN COMPUTACION E INFORMATICA,8,0,0,0,6,10,:25:17:4:26:29:23,,,,6.3,6.3,1.0,2.8
29,INGENIERIA CIVIL INDUSTRIAL,24,0,0,0,17,22,:25:17:4:26:29:23:0:22:10:3:42:32:13:18,,,,5.5,6.2,5.1,5.6
30,INGENIERIA EN COMPUTACION E INFORMATICA,16,5,0,0,15,16,:25:17:4:26:29:23:0:22:10:3:42,:6:1:44:37,,,6.8,6.5,6.7,6.7
31,INGENIERIA INDUSTRIAL,12,1,0,0,9,22,:25:17:4:26:29:0:10:18,:1,,,7.0,6.1,5.1,6.1
32,INGENIERIA EN COMPUTACION E INFORMATICA,22,0,0,0,20,27,:25:17:4:26:29:23:0:22:10:3:42:32:18:35,,,,6.6,6.8,5.8,6.4
33,INGENIERIA CIVIL INDUSTRIAL,24,2,0,0,16,15,:25:17:4:26:23:0:22:10:3:42:32:13:18:35,:6:44,,,6.8,6.3,6.6,6.6
35,INGENIERIA CIVIL INDUSTRIAL,27,7,0,0,21,10,:25:17:4:26:29:23:0:22:10:3:42:7:32:13:18:35,:6:1:44:37:28,,,7.0,5.7,6.2,6.3
36,INGENIERIA EN COMPUTACION E INFORMATICA,23,6,0,0,20,11,:25:17:4:26:29:23:0:22:10:3:42:7:32:18:35,:6:1:44:37:38,,,5.4,6.1,5.8,5.8
37,INGENIERIA CIVIL INFORMATICA,18,7,0,0,17,14,:25:17:4:26:29:23:0:22:10:3:42:18,:1:44:37:28:38,,,7.0,5.9,6.8,6.6
38,INGENIERIA CIVIL INDUSTRIAL,18,3,0,0,14,17,:25:17:26:29:23:0:22:3:42:32:18,:6:1:44,,,6.2,6.2,6.4,6.3
39,INGENIERIA CIVIL INDUSTRIAL,20,3,0,0,16,15,:25:17:4:26:29:23:0:22:10:3:42:18:35,:6:1:44,,,5.7,5.8,5.0,5.5
40,INGENIERIA EN COMPUTACION E INFORMATICA,12,10,0,0,15,24,:25:17:4:26:29:0:22:10,:6:1:44:37:28:12:8,,,7.0,7.0,7.0,7.0
41,INGENIERIA INDUSTRIAL,3,0,0,0,3,13,:25:17:4,,,,6.6,4.1,3.7,4.8
43,INGENIERIA CIVIL INDUSTRIAL,20,5,0,0,17,14,:25:17:4:26:29:23:0:22:10:3:42:32:18,:6:1:44:37,,,6.6,6.3,6.5,6.5
45,INGENIERIA CIVIL INDUSTRIAL,20,3,0,0,16,15,:25:17:4:26:29:23:0:22:10:3:32:18:35,:6:1:44,,,6.6,6.1,6.3,6.3
46,INGENIERIA EN COMPUTACION E INFORMATICA,26,6,0,0,26,13,:25:17:4:26:29:23:0:22:10:3:42:32:13:18:35,:6:44:37:28,,,6.4,6.4,5.4,6.1
47,INGENIERIA INDUSTRIAL,13,4,0,0,12,19,:25:17:4:26:29:22:10:3:42,:1:44:28,,,6.6,7.0,6.0,6.5
48,INGENIERIA CIVIL INFORMATICA,27,5,0,0,20,11,:25:17:4:26:29:23:0:22:10:3:42:7:32:13:18:35,:6:1:44:37,,,6.8,7.0,6.4,7.0
49,INGENIERIA CIVIL INDUSTRIAL,22,0,0,0,14,17,:25:17:4:26:29:23:0:22:10:3:42:32:18:35,,,,6.6,6.2,6.6,6.5
52,INGENIERIA EN COMPUTACION E INFORMATICA,2,11,0,0,7,32,:17:4,:1:44:11:37:48,,,6.1,6.3,5.9,6.1
53,INGENIERIA INDUSTRIAL,1,0,0,0,1,30,:17,,,,6.5,4.2,5.3,5.3
55,INGENIERIA EN COMPUTACION E INFORMATICA,26,13,0,0,24,7,:25:17:4:26:29:23:0:22:10:3:42:32:13:18:35,:6:1:44:37:28:12:21:38:8,,,7.0,6.8,6.6,6.8
56,INGENIERIA EN COMPUTACION E INFORMATICA,25,3,0,0,18,13,:25:17:4:26:29:23:0:22:10:3:42:7:32:13:18,:6:1:44,,,5.8,4.9,2.9,4.5
58,INGENIERIA CIVIL INDUSTRIAL,6,0,0,0,5,26,:25:17:4:22:10,,,,5.9,6.4,4.6,5.6
59,INGENIERIA CIVIL INDUSTRIAL,12,8,0,0,15,24,:25:17:4:26:29:23:22:10:3,:6:1:44:37:28:12,,,6.8,5.3,6.4,6.2
60,INGENIERIA CIVIL INDUSTRIAL,7,10,0,0,11,20,:4:29:23:0:3,:6:1:28:9:2:33,,,6.1,6.4,5.1,5.9
61,INGENIERIA CIVIL INDUSTRIAL,18,4,0,0,16,15,:25:17:4:26:29:23:0:22:10:3:42:18,:6:1:44:9,,,7.0,5.8,6.1,6.3
62,INGENIERIA CIVIL INDUSTRIAL,15,3,0,0,12,35,:25:17:4:26:23:3:42:32:13,:6:1:44,,,5.6,7.0,6.3,6.4
63,INGENIERIA EN COMPUTACION E INFORMATICA,27,16,0,0,26,5,:25:17:4:26:29:23:0:22:10:3:42:7:32:13:18:35,:6:1:44:11:37:28:12:21:38:8,,,7.0,5.8,6.4,6.4
64,INGENIERIA EN COMPUTACION E INFORMATICA,22,3,0,0,17,14,:25:17:4:26:29:23:0:22:10:3:42:32:18:35,:6:1:44,,,5.9,4.0,5.7,5.2
66,INGENIERIA EN COMPUTACION E INFORMATICA,27,9,0,0,39,8,:25:17:4:26:29:23:0:22:10:3:42:7:32:13:18:35,:6:1:44:37:28:12:9,,,5.6,5.6,6.8,6.0
67,INGENIERIA CIVIL INDUSTRIAL,20,3,0,0,16,15,:25:17:4:26:29:23:0:22:10:3:42:32:18,:6:1:44,,,6.8,7.0,5.9,6.6
68,INGENIERIA EN COMPUTACION E INFORMATICA,16,7,0,0,16,23,:25:17:4:26:29:23:0:22:10:3:42,:6:1:44:37:28,,,6.4,6.6,6.2,6.4
70,INGENIERIA CIVIL INFORMATICA,21,6,0,0,32,15,:25:17:4:26:29:23:0:22:10:3:42:7:32:35,:6:1:44:28:38,,,7.0,7.0,6.8,6.9
71,INGENIERIA CIVIL INDUSTRIAL,24,14,0,0,23,8,:25:17:4:26:29:23:0:22:10:3:42:32:13:18,:6:1:44:37:28:12:38:2:33,,,5.2,5.4,4.6,5.1
72,INGENIERIA CIVIL INFORMATICA,27,17,0,0,27,4,:25:17:4:26:29:23:0:22:10:3:42:7:32:13:18:35,:6:1:44:11:37:28:12:21:38:8:9,,,6.6,6.4,6.6,6.5
73,INGENIERIA CIVIL INDUSTRIAL,22,0,0,0,13,26,:25:17:4:26:23:0:10:3:42:32:13:18:35,,,,6.6,6.8,6.1,6.5
74,INGENIERIA CIVIL INDUSTRIAL,22,8,0,0,20,11,:25:17:4:26:29:23:0:22:10:3:42:32:18:35,:6:1:44:37:28:38,,,6.8,5.9,6.0,6.2
75,INGENIERIA CIVIL INDUSTRIAL,22,2,0,0,16,15,:25:17:4:26:29:23:0:22:10:3:42:32:18:35,:1:44,,,6.0,5.6,6.4,6.0
76,INGENIERIA CIVIL INDUSTRIAL,12,6,0,0,13,18,:25:17:4:26:29:0:22:10,:6:1:44:37:38,,,6.5,6.6,5.9,6.3
77,INGENIERIA CIVIL INFORMATICA,24,14,0,0,23,8,:25:17:4:26:29:23:0:22:10:3:42:32:13:18,:6:1:44:11:37:28:12:21:38,,,6.3,6.8,6.2,6.4
78,INGENIERIA EN COMPUTACION E INFORMATICA,27,24,0,0,30,1,:25:17:4:26:29:23:0:22:10:3:42:7:32:13:18:35,:6:1:44:11:37:28:12:21:38:8:9:2:33:31,,,6.9,6.8,6.6,6.8
79,INGENIERIA CIVIL INFORMATICA,22,3,0,0,53,17,:25:17:4:26:29:23:0:22:10:3:42:32:18:35,:6:1:44,,,6.8,6.8,7.0,5.3
80,INGENIERIA EN COMPUTACION E INFORMATICA,27,2,0,0,17,30,:25:17:4:26:29:23:0:22:10:3:42:7:32:13:18:35,:28,,,5.5,6.3,5.6,5.8
82,INGENIERIA CIVIL INFORMATICA,21,22,0,0,41,6,:25:17:4:26:29:23:0:22:10:3:42:7:18:35,:6:1:44:11:37:28:12:38:8:9:2:33:31,,,6.8,6.7,6.8,6.8
83,INGENIERIA CIVIL INDUSTRIAL,18,8,0,0,17,14,:25:17:4:26:29:23:22:42:32:18:35,:6:1:44:37:28:38,,,6.5,5.6,4.8,5.6
84,INGENIERIA CIVIL INFORMATICA,22,5,0,0,16,15,:25:17:4:26:29:0:22:10:3:7:32:13:18,:1:44:11,,,6.6,6.4,4.3,5.8
85,INGENIERIA CIVIL INFORMATICA,20,6,0,0,18,13,:25:17:4:26:29:23:0:22:10:3:42:32:18,:6:1:44:28:38,,,5.8,6.4,5.0,5.7
86,INGENIERIA CIVIL INFORMATICA,16,8,0,0,17,22,:25:17:4:26:29:23:0:22:10:3:42,:6:1:44:37:28:12,,,6.8,6.4,5.6,6.3
87,INGENIERIA INDUSTRIAL,21,0,0,0,13,18,:25:17:4:26:29:0:22:10:3:42:32:18:35,,,,6.4,6.8,6.4,6.5
88,INGENIERIA CIVIL INDUSTRIAL,16,7,0,0,16,15,:25:17:4:26:29:23:0:22:10:3:32,:6:1:44:37:28,,,7.0,4.4,6.8,6.1
89,INGENIERIA EN COMPUTACION E INFORMATICA,27,3,0,0,19,12,:25:17:4:26:29:23:0:22:10:3:42:7:32:13:18:35,:6:1:44,,,6.4,5.9,6.8,6.4
90,INGENIERIA CIVIL INDUSTRIAL,22,3,0,0,17,14,:25:17:4:26:29:23:0:22:10:3:42:32:18:35,:6:1:44,,,7.0,5.8,6.4,6.4
91,INGENIERIA CIVIL INDUSTRIAL,25,10,0,0,20,11,:25:17:4:26:29:0:22:10:3:42:32:13:18:35,:6:1:28:9:2:33,,,5.5,6.3,4.8,5.5
92,INGENIERIA EN COMPUTACION E INFORMATICA,21,5,0,0,16,15,:25:17:4:26:23:0:22:3:42:32:13:35,:1:44:37:12,,,6.9,7.0,6.4,6.4
93,INGENIERIA EN COMPUTACION E INFORMATICA,17,8,0,0,17,22,:25:17:4:26:29:23:0:22:3:42:18,:6:44:37:28:12:38,,,5.6,6.8,4.6,5.7
94,INGENIERIA CIVIL INDUSTRIAL,22,6,0,0,15,16,:25:17:4:26:29:0:22:10:32:13:18:35,:9:2:33,,,5.0,6.1,2.4,4.5
95,INGENIERIA EN COMPUTACION E INFORMATICA,18,0,0,0,11,20,:25:4:26:29:23:22:3:42:32:18:35,,,,6.6,6.6,6.2,6.2
96,INGENIERIA INDUSTRIAL,19,0,0,0,13,3,:25:17:4:26:29:23:0:22:10:3:7:32:18,,,,5.4,5.4,4.0,4.9
97,INGENIERIA CIVIL INFORMATICA,27,10,0,0,23,24,:25:17:4:26:29:23:0:22:10:3:42:7:32:13:18:35,:6:1:44:37:28:12:21,,,6.8,6.0,6.4,6.4
98,INGENIERIA CIVIL INFORMATICA,20,2,0,0,14,17,:25:17:4:26:29:23:0:22:10:3:42:18:35,:37,,,7.0,6.8,6.0,6.6
99,INGENIERIA CIVIL INFORMATICA,13,3,0,0,12,19,:25:17:4:26:29:10:3:18:35,:6:1:44,,,6.1,4.5,5.1,5.2
101,INGENIERIA CIVIL INDUSTRIAL,21,12,0,0,23,24,:25:17:4:26:29:23:0:22:10:3:42:7:18:35,:6:1:44:37:28:12:38:8:9,,,7.0,7.0,7.0,7.0
102,INGENIERIA INDUSTRIAL,25,7,0,0,18,13,:25:17:4:26:29:23:0:22:10:3:7:32:13:18:35,:11:28:21,,,6.6,5.2,3.6,5.1
105,INGENIERIA EN COMPUTACION E INFORMATICA,20,2,0,0,15,24,:25:17:4:26:29:23:0:22:10:3:42:18:35,:6:44,,,4.6,5.9,3.5,4.7
106,INGENIERIA EN COMPUTACION E INFORMATICA,15,5,0,0,12,19,:25:17:4:26:29:0:22:42:32,:6:37:28,,,4.6,6.8,5.3,5.3
107,INGENIERIA EN COMPUTACION E INFORMATICA,25,19,0,0,27,4,:25:17:4:26:29:23:0:22:10:3:42:7:32:13:18,:6:1:44:11:37:28:12:21:38:8:9:31,,,6.8,6.4,6.8,6.7
108,INGENIERIA CIVIL INDUSTRIAL,22,6,0,0,26,13,:25:17:4:26:29:23:0:22:10:3:42:32:18:35,:6:1:44:28:38,,,6.2,5.8,5.9,6.0
109,INGENIERIA CIVIL INDUSTRIAL,23,0,0,0,22,17,:25:17:4:26:29:23:0:22:10:3:42:7:32:18:35,,,,6.8,7.0,6.6,6.8
110,INGENIERIA CIVIL INDUSTRIAL,17,4,0,0,15,16,:25:17:4:26:29:23:22:10:42:32:18,:6:1:44:38,,,6.7,6.7,4.2,5.9
111,INGENIERIA EN COMPUTACION E INFORMATICA,27,19,0,0,28,3,:25:17:4:26:29:23:0:22:10:3:42:7:32:13:18:35,:6:1:44:11:37:28:12:21:38:8:9:2,,,5.0,6.8,6.8,6.2
112,INGENIERIA CIVIL INDUSTRIAL,2,0,0,0,2,45,:25:4,,,,5.8,4.0,3.6,4.5
113,INGENIERIA EN COMPUTACION E INFORMATICA,26,10,0,0,21,10,:25:17:4:26:29:23:0:22:10:3:42:32:13:18:35,:6:1:44:11:37:28,,,6.1,5.3,6.0,6.1
114,INGENIERIA CIVIL INDUSTRIAL,15,2,0,0,17,38,:25:17:26:22:3:42:32:18:35,:6:44,,,4.4,4.6,5.5,4.8
115,INGENIERIA EN COMPUTACION E INFORMATICA,21,5,0,0,16,23,:25:17:4:26:29:0:22:10:3:42:32:13,:6:1:44:37,,,6.5,5.9,5.8,6.1
116,INGENIERIA CIVIL INDUSTRIAL,22,6,0,0,15,16,:25:17:4:26:29:0:22:10:32:13:18:35,:9:2:33,,,6.6,6.4,6.4,6.5
117,INGENIERIA EN COMPUTACION E INFORMATICA,20,4,0,0,16,15,:25:17:4:26:29:23:0:22:10:3:42:32:18,:1:44:28,,,6.8,6.7,5.3,6.3
118,INGENIERIA EN COMPUTACION E INFORMATICA,14,6,0,0,20,19,:25:17:4:26:23:0:22:10:3:42,:6:44:37:28,,,5.9,6.0,5.4,5.8
119,INGENIERIA EN COMPUTACION E INFORMATICA,18,7,0,0,17,14,:25:17:4:26:29:23:0:22:10:3:42:18,:6:1:44:37:28,,,7.0,6.8,6.6,6.8
120,INGENIERIA CIVIL INFORMATICA,16,5,0,0,15,16,:25:17:4:26:29:23:0:22:10:3:42,:6:1:44:28,,,6.2,6.6,6.0,6.3
121,INGENIERIA CIVIL INDUSTRIAL,20,3,0,0,16,23,:25:17:4:26:29:23:0:22:10:3:42:32:18,:6:1:44,,,6.2,5.6,5.5,5.8
123,INGENIERIA CIVIL INDUSTRIAL,5,5,0,0,6,25,:3:42:35,:44:37:28,,,4.5,4.6,5.6,4.9
124,INGENIERIA CIVIL INFORMATICA,18,5,0,0,16,15,:25:17:4:26:23:0:22:10:3:42:32:35,:6:1:44:37,,,4.3,6.0,6.6,5.6
126,INGENIERIA INDUSTRIAL,5,0,0,0,4,12,:25:17:4:22,,,,6.4,5.1,4.2,5.2
127,INGENIERIA CIVIL INDUSTRIAL,8,9,0,0,11,20,:25:17:4:22:10:35,:6:11:37:28:12,,,7.0,6.4,6.6,6.7
128,INGENIERIA EN COMPUTACION E INFORMATICA,17,6,0,0,16,15,:25:17:4:26:29:0:22:10:3:42:35,:6:1:44:37:12,,,5.3,4.8,5.4,5.2
129,INGENIERIA CIVIL INDUSTRIAL,20,5,0,0,18,13,:25:17:4:26:29:23:0:22:10:3:42:32:18,:6:1:44:12:38,,,6.2,6.1,6.4,6.2
130,INGENIERIA CIVIL INDUSTRIAL,22,6,0,0,19,12,:25:17:4:26:29:23:0:22:10:3:42:32:18:35,:6:1:44:28:38,,,5.8,6.0,6.6,6.1
132,INGENIERIA CIVIL INDUSTRIAL,26,5,0,0,19,12,:25:17:4:26:29:23:0:22:10:3:42:32:13:18:35,:6:1:44:37,,,7.0,6.4,6.5,6.6
133,INGENIERIA CIVIL INDUSTRIAL,27,0,0,0,22,17,:25:17:4:26:29:23:0:22:10:3:42:7:32:13:18:35,,,,7.0,6.0,6.5,6.5
135,INGENIERIA CIVIL INDUSTRIAL,18,16,0,0,38,9,:25:17:4:26:29:23:0:22:10:3:42:32,:6:1:44:11:37:28:12:21:38:8,,,6.6,6.6,6.8,6.7
136,INGENIERIA CIVIL INDUSTRIAL,26,5,0,0,19,20,:25:17:4:26:29:23:0:22:10:3:42:32:13:18:35,:6:1:44:37,,,5.8,4.8,5.7,5.4
137,INGENIERIA CIVIL INDUSTRIAL,18,7,0,0,17,22,:25:17:4:26:29:23:0:22:10:3:42:18,:6:1:44:37:28,,,7.0,6.6,4.8,6.1
138,INGENIERIA CIVIL INDUSTRIAL,15,3,0,0,13,26,:25:17:4:23:0:22:10:32:13,:6:1:44,,,5.8,5.7,6.0,5.8
139,INGENIERIA CIVIL INFORMATICA,27,5,0,0,20,11,:25:17:4:26:29:23:0:22:10:3:42:7:32:13:18:35,:6:1:44:28,,,6.6,5.1,6.4,6.0
140,INGENIERIA CIVIL INFORMATICA,12,0,0,0,8,16,:25:17:4:26:29:0:22:10,,,,4.2,5.6,1.0,3.6
141,INGENIERIA EN COMPUTACION E INFORMATICA,14,1,0,0,9,22,:25:17:4:26:3:42:32:13,:44,,,4.5,6.6,5.8,4.5
142,INGENIERIA CIVIL INFORMATICA,12,0,0,0,8,23,:25:17:4:26:29:0:22:10,,,,6.8,5.3,5.5,5.9
143,INGENIERIA CIVIL INDUSTRIAL,19,3,0,0,15,16,:25:17:4:26:29:23:0:10:42:32:18:35,:6:1:44,,,6.5,5.3,6.3,6.0
144,INGENIERIA CIVIL INFORMATICA,24,0,0,0,14,17,:25:17:4:26:29:23:0:22:10:3:32:13:18:35,,,,6.8,5.5,6.2,6.2
145,INGENIERIA CIVIL INFORMATICA,16,7,0,0,16,15,:25:17:4:26:29:23:0:22:10:3:42,:6:1:44:37:28,,,6.8,6.0,6.8,6.5
146,INGENIERIA CIVIL INFORMATICA,24,2,0,0,16,15,:25:17:4:26:29:23:0:22:10:3:32:13:18:35,:6:1,,,6.6,5.7,6.4,6.2
147,INGENIERIA CIVIL INFORMATICA,22,3,0,0,16,15,:25:17:4:26:29:23:0:22:10:3:42:32:13,:6:1:44,,,7.0,7.0,6.6,6.9
149,INGENIERIA CIVIL INDUSTRIAL,22,1,0,0,22,25,:25:17:4:26:29:23:0:22:10:3:32:13:18,:44,,,4.8,6.2,4.4,5.1
150,INGENIERIA CIVIL INDUSTRIAL,1,0,0,0,1,15,:25,,,,5.8,5.6,6.8,6.1
152,INGENIERIA CIVIL INDUSTRIAL,18,5,0,0,16,15,:25:17:4:26:29:23:0:22:10:3:42:32,:6:1:44:37,,,6.1,5.9,6.6,6.2
153,INGENIERIA CIVIL INDUSTRIAL,22,8,0,0,20,19,:25:17:4:26:29:23:0:22:10:3:42:32:18:35,:6:1:44:37:28:38,,,6.0,5.3,5.8,5.7
154,INGENIERIA EN COMPUTACION E INFORMATICA,14,10,0,0,23,16,:25:17:4:26:29:23:0:22:10:3,:6:1:44:11:37:38:9,,,6.3,6.7,5.7,6.2
156,INGENIERIA EN COMPUTACION E INFORMATICA,20,7,0,0,26,13,:25:17:4:26:29:23:0:22:10:3:42:18:35,:6:1:44:37:28,,,6.6,6.6,6.1,6.4
157,INGENIERIA EN COMPUTACION E INFORMATICA,2,0,0,0,8,16,:25:17,,,,6.4,5.9,2.9,5.1
158,INGENIERIA CIVIL INFORMATICA,26,3,0,0,26,13,:25:17:4:26:29:23:0:22:10:3:42:32:13:18:35,:6:1:44,,,5.9,6.3,6.0,6.1
159,INGENIERIA CIVIL INDUSTRIAL,22,2,0,0,16,15,:25:17:4:26:29:23:0:22:10:3:42:32:18:35,:6:1,,,6.4,5.3,6.0,6.7
160,INGENIERIA CIVIL INDUSTRIAL,22,7,0,0,19,12,:25:17:4:26:29:23:0:22:10:3:42:32:18:35,:6:1:44:37:28,,,5.2,5.0,5.1,5.1
161,INGENIERIA CIVIL INFORMATICA,24,3,0,0,17,22,:25:17:4:26:29:23:0:22:10:3:42:32:13:18,:6:1:44,,,7.0,7.0,6.7,6.9
162,INGENIERIA EN COMPUTACION E INFORMATICA,20,3,0,0,16,15,:25:17:4:26:29:23:0:22:10:3:42:18:35,:6:1:44,,,6.6,4.9,5.6,5.7
163,INGENIERIA CIVIL INDUSTRIAL,19,5,0,0,16,15,:25:17:4:26:29:23:0:22:10:42:18:35,:6:1:44:37,,,6.6,5.5,6.3,6.1
164,INGENIERIA CIVIL INDUSTRIAL,0,10,0,0,7,24,,:6:1:44:37:28:21:9,,,4.4,6.3,6.4,5.7
167,INGENIERIA CIVIL INDUSTRIAL,20,3,0,0,16,15,:25:17:4:26:29:23:0:22:10:3:42:32:18,:6:1:44,,,6.3,5.5,7.0,6.3
168,INGENIERIA CIVIL INFORMATICA,18,4,0,0,15,16,:25:17:4:26:29:23:0:22:10:3:18:35,:1:44:37,,,6.8,5.9,4.8,5.8
169,INGENIERIA CIVIL INFORMATICA,15,5,0,0,15,16,:25:17:4:26:29:22:10:3:42:35,:6:1:44:38:9,,,5.7,6.2,5.5,5.7
171,BACHILLERATO EN CIENCIAS,17,10,0,0,26,13,:25:17:4:26:29:23:0:22:10:3:42:7,:6:1:44:37:28:12:21,,,7.0,6.2,6.0,6.4
172,BACHILLERATO EN CIENCIAS,16,5,0,0,15,16,:25:17:4:26:29:23:22:10:3:42:18,:6:1:44:28,,,7.0,4.9,5.6,5.8
174,INGENIERIA CIVIL INDUSTRIAL,19,4,0,0,13,18,:25:17:4:29:22:10:7:32:13:18:35,:44:11,,,6.4,6.3,7.0,6.6
175,INGENIERIA INDUSTRIAL,18,6,0,0,17,14,:25:17:4:26:29:23:0:22:10:3:42:18,:6:44:28:12:38,,,5.7,6.6,6.6,6.3
177,INGENIERIA EN COMPUTACION E INFORMATICA,10,0,0,0,7,9,:25:17:4:26:29:22:10,,,,4.4,5.1,5.0,4.8
178,INGENIERIA EN COMPUTACION E INFORMATICA,12,6,0,0,13,18,:25:17:4:29:23:22:10:3:42,:6:44:37:28,,,6.8,5.9,6.2,6.2
179,INGENIERIA EN COMPUTACION E INFORMATICA,19,4,0,0,15,16,:25:17:4:26:29:0:22:10:3:42:32:35,:6:44:37,,,5.9,6.2,5.8,5.9
180,INGENIERIA CIVIL INDUSTRIAL,19,1,0,0,13,18,:25:17:4:29:23:0:22:10:42:32:18:35,:6,,,5.0,4.2,5.8,5.0
181,INGENIERIA CIVIL INFORMATICA,15,2,0,0,11,20,:25:17:4:26:29:23:3:42:18:35,:28,,,6.4,6.3,6.1,5.3
182,INGENIERIA CIVIL INDUSTRIAL,22,2,0,0,24,15,:25:17:4:26:29:23:0:22:10:3:42:32:18:35,:1:44,,,7.0,5.3,6.5,6.3
183,INGENIERIA EN COMPUTACION E INFORMATICA,26,5,0,0,19,12,:25:17:4:26:29:23:0:22:10:3:42:32:13:18:35,:6:1:44:37,,,6.0,6.2,6.0,6.1
184,INGENIERIA EN COMPUTACION E INFORMATICA,16,4,0,0,20,19,:25:17:4:26:23:0:22:10:3:42:18,:1:44:37,,,5.0,5.3,6.0,5.4
185,INGENIERIA EN COMPUTACION E INFORMATICA,21,1,0,0,14,17,:25:17:4:26:29:0:22:10:3:42:32:18:35,:1,,,6.9,6.5,5.3,6.2
186,INGENIERIA CIVIL INDUSTRIAL,23,3,0,0,15,16,:25:17:4:26:29:23:0:22:10:32:13:18:35,:6:37,,,7.0,5.1,5.9,6.0
187,INGENIERIA CIVIL INFORMATICA,27,0,0,0,16,15,:25:17:4:26:29:23:0:22:10:3:42:7:32:13:18:35,,,,6.8,7.0,6.2,6.7
188,INGENIERIA CIVIL INDUSTRIAL,22,3,0,0,17,14,:25:17:4:26:29:23:0:22:10:3:42:32:18:35,:6:44:38,,,6.2,4.7,3.9,4.9
